layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strenght,elongation
0.02,8.0,90.0,grid,220.0,60.0,40.0,abs,0.0,25.0,18.0,1.2
0.02,7.0,90.0,honeycomb,225.0,65.0,40.0,abs,25.0,32.0,16.0,1.4
0.02,1.0,80.0,grid,230.0,70.0,40.0,abs,50.0,40.0,8.0,0.8
0.02,4.0,70.0,honeycomb,240.0,75.0,40.0,abs,75.0,68.0,10.0,0.5
0.02,6.0,90.0,grid,250.0,80.0,40.0,abs,100.0,92.0,5.0,0.7
0.02,10.0,40.0,honeycomb,200.0,60.0,40.0,pla,0.0,60.0,24.0,1.1
0.02,5.0,10.0,grid,205.0,65.0,40.0,pla,25.0,55.0,12.0,1.3
0.02,10.0,10.0,honeycomb,210.0,70.0,40.0,pla,50.0,21.0,14.0,1.5
0.02,9.0,70.0,grid,215.0,75.0,40.0,pla,75.0,24.0,27.0,1.4
0.02,8.0,40.0,honeycomb,220.0,80.0,40.0,pla,100.0,30.0,25.0,1.7
0.06,6.0,80.0,grid,220.0,60.0,60.0,abs,0.0,75.0,37.0,2.4
0.06,2.0,20.0,honeycomb,225.0,65.0,60.0,abs,25.0,92.0,12.0,1.4
0.06,10.0,50.0,grid,230.0,70.0,60.0,abs,50.0,118.0,16.0,1.3
0.06,6.0,10.0,honeycomb,240.0,75.0,60.0,abs,75.0,200.0,9.0,0.8
0.06,3.0,50.0,grid,250.0,80.0,60.0,abs,100.0,220.0,10.0,1.0
0.06,10.0,90.0,honeycomb,200.0,60.0,60.0,pla,0.0,126.0,27.0,2.2
0.06,3.0,40.0,grid,205.0,65.0,60.0,pla,25.0,145.0,23.0,1.9
0.06,8.0,30.0,honeycomb,210.0,70.0,60.0,pla,50.0,88.0,26.0,1.6
0.06,5.0,80.0,grid,215.0,75.0,60.0,pla,75.0,92.0,33.0,2.1
0.06,10.0,50.0,honeycomb,220.0,80.0,60.0,pla,100.0,74.0,29.0,2.0
0.1,1.0,40.0,grid,220.0,60.0,120.0,abs,0.0,120.0,16.0,1.2
0.1,2.0,30.0,honeycomb,225.0,65.0,120.0,abs,25.0,144.0,12.0,1.1
0.1,1.0,50.0,grid,230.0,70.0,120.0,abs,50.0,265.0,10.0,0.9
0.1,9.0,80.0,honeycomb,240.0,75.0,120.0,abs,75.0,312.0,19.0,0.8
0.1,2.0,60.0,grid,250.0,80.0,120.0,abs,100.0,368.0,8.0,0.4
0.1,1.0,50.0,honeycomb,200.0,60.0,120.0,pla,0.0,180.0,11.0,1.6
0.1,4.0,40.0,grid,205.0,65.0,120.0,pla,25.0,176.0,12.0,1.2
0.1,3.0,50.0,honeycomb,210.0,70.0,120.0,pla,50.0,128.0,18.0,1.8
0.1,4.0,90.0,grid,215.0,75.0,120.0,pla,75.0,138.0,34.0,2.9
0.1,1.0,30.0,honeycomb,220.0,80.0,120.0,pla,100.0,121.0,14.0,1.5
0.15,4.0,50.0,grid,220.0,60.0,60.0,abs,0.0,168.0,27.0,2.4
0.15,7.0,10.0,honeycomb,225.0,65.0,60.0,abs,25.0,154.0,19.0,1.8
0.15,6.0,50.0,grid,230.0,70.0,60.0,abs,50.0,225.0,18.0,1.4
0.15,1.0,50.0,honeycomb,240.0,75.0,60.0,abs,75.0,289.0,9.0,0.6
0.15,7.0,80.0,grid,250.0,80.0,60.0,abs,100.0,326.0,13.0,0.7
0.15,3.0,80.0,honeycomb,200.0,60.0,60.0,pla,0.0,192.0,33.0,2.8
0.15,4.0,50.0,grid,205.0,65.0,60.0,pla,25.0,212.0,24.0,1.8
0.15,10.0,30.0,honeycomb,210.0,70.0,60.0,pla,50.0,168.0,26.0,2.1
0.15,6.0,40.0,grid,215.0,75.0,60.0,pla,75.0,172.0,22.0,2.3
0.15,1.0,10.0,honeycomb,220.0,80.0,60.0,pla,100.0,163.0,4.0,0.7
0.2,4.0,80.0,grid,220.0,60.0,40.0,abs,0.0,212.0,35.0,3.3
0.2,9.0,90.0,honeycomb,225.0,65.0,40.0,abs,25.0,276.0,34.0,3.1
0.2,7.0,30.0,grid,230.0,70.0,40.0,abs,50.0,298.0,28.0,2.2
0.2,6.0,90.0,honeycomb,240.0,75.0,40.0,abs,75.0,360.0,28.0,1.6
0.2,3.0,80.0,grid,250.0,80.0,40.0,abs,100.0,357.0,21.0,1.1
0.2,5.0,60.0,honeycomb,200.0,60.0,40.0,pla,0.0,321.0,28.0,2.7
0.2,4.0,20.0,grid,205.0,65.0,40.0,pla,25.0,265.0,14.0,1.8
0.2,5.0,60.0,honeycomb,210.0,70.0,40.0,pla,50.0,278.0,30.0,3.2
0.2,7.0,40.0,grid,215.0,75.0,40.0,pla,75.0,244.0,29.0,3.2
0.2,3.0,60.0,honeycomb,220.0,80.0,40.0,pla,100.0,220.0,27.0,3.1
0.2024087888832996,4.715138682276616,60.77790147318043,grid,199.3385335817533,60.4183873594104,42.326516132579705,pla,5.106566214543304,311.23475666155383,27.14743721784181,2.7404738475299486
0.10758959260326084,2.351525373507631,28.782251999391875,grid,225.61043512062182,64.8923849059635,119.663833515286,pla,23.409346655522555,147.478899048913,11.603175634776957,1.1348190966108
0.20633832894610282,6.482172091480472,87.07437665489168,grid,241.752547463744,74.86306444014805,40.56411013653922,pla,79.06844064663595,358.554377780727,26.608254044809463,1.6510894240026797
0.020331614238194014,8.25186071298417,40.082723924210356,grid,220.98327927204633,80.21240053733459,42.068900295902914,abs,96.96342172475434,24.689654839008828,23.6527507131565,1.6795984143213512
0.02257125624750286,1.3592086814504194,83.37586412571426,honeycomb,229.6998594895118,69.88990850944784,41.272993133838504,abs,47.559857195612686,49.19336036480487,9.58825415875432,0.8279205904739756
0.14735980921973196,2.6507921367600913,78.45063735469306,honeycomb,201.43039438679187,59.829979547983164,54.56295348651562,pla,5.323452512921722,207.93242321071992,33.623553135892905,2.919680497870759
0.08777686023617881,1.012046500925142,33.139795645722366,honeycomb,221.32807241261193,80.24019755378922,114.99311017526833,abs,98.359091549028,138.39598418022234,14.187353046169068,1.4897076085765557
0.09595741063154252,1.6016552806694437,58.57215499576268,grid,248.7997277145348,80.90439953010309,115.29737482057261,abs,94.88125621835519,356.2795377574815,6.774573075417196,0.3528358880397574
0.021600710156947093,7.850548736115441,88.47127742591529,honeycomb,216.03065476606966,60.1959026234877,34.70382899222879,pla,-1.4917442329291597,45.334647066877515,19.11675942978946,1.3151627986522736
0.15314298096110213,4.17073382130334,45.67959550137216,grid,208.04687696861586,64.80538634319821,62.5560237131468,pla,24.727657208224752,215.81329268296,24.134232707933965,1.7949890429383568
0.14826493982719116,3.8646640457616495,51.21886318897728,grid,206.06994427573355,64.57682912563378,57.16201055304368,abs,24.386724042684385,213.10657974889068,24.38977360074368,1.9107786893899998
0.20103163541151592,8.881062398453802,92.23362428305165,grid,223.61307559775034,65.3366603050941,39.944756210242105,pla,27.278649660316898,263.82047449220147,34.26853097006178,3.1218476480295414
